Element,sigma_p,sigma_n,S_p,S_n,kappa_p,kappa_n,PF_p,PF_n,m_p,m_n
Pu,60359.31182,60353.80887,-206.4575704,152.8042758,435248.9614,435218.7243,14.34005521,13.75176393,0.000464642,0.000464684
Po,,,,,,,,,,
At,,,,,,,,,,
Rn,,,,,,,,,,
Fr,,,,,,,,,,
Ra,,,,,,,,,,
Rf,,,,,,,,,,
Db,,,,,,,,,,
Sg,,,,,,,,,,
Bh,,,,,,,,,,
Hs,,,,,,,,,,
Mt,,,,,,,,,,
Ds,,,,,,,,,,
Rg,,,,,,,,,,
Cn,,,,,,,,,,
Nh,,,,,,,,,,
Fl,,,,,,,,,,
Mc,,,,,,,,,,
Lv,,,,,,,,,,
Ts,,,,,,,,,,
Og,,,,,,,,,,
Am,,,,,,,,,,
Cm,,,,,,,,,,
Bk,,,,,,,,,,
Cf,,,,,,,,,,
Es,,,,,,,,,,
Fm,,,,,,,,,,
Md,,,,,,,,,,
No,,,,,,,,,,
Lr,,,,,,,,,,
